ResponseID,StartDate,EndDate,Finished,consent,dem1,dem1_TEXT,dem2,dem2b,dem3,dem4,dem4_TEXT,dem5,dem5_TEXT,dem6,dem7,dem7a,dem7_1_59,dem7_1_60,dem7_1_61,dem7_1_62,dem7_1_63,dem7_1_64,dem7_1_65,dem7_1a_59,dem7_1a_60,dem7_1a_61,dem7_1a_62,dem7_1a_63,dem7_1a_64,dem7_1a_65,dem8,dem9,DR_title,DRtext,DR_equip_1,DR_equip_2,DR_equip_3,DR_equip_4,DR_equip_5,DR_genetic_1,DR_genetic_2,DR_genetic_3,DRtext2,DR_general_1,DR_general_2,DR_general_3,DR_general_4,DR_general_5,DR_general_6,DR_general_7,DR_general_8,DR_general_9,DR_general_10,DR_general_11,DRtext3,DR_harvest_1,DR_harvest_2,DR_harvest_3,DR_harvest_4,DR_harvest_5,DR_harvest_6,DR_person_1,DR_person_2,DR_person_3,DR_person_4,DR_person_5,IB_title,IB_text,IB_equip_1,IB_equip_2,IB_equip_3,IB_equip_4,IB_equip_5,IB_genetic_1,IB_genetic_2,IB_genetic_3,IB_text2,IB_general_1,IB_general_2,IB_general_3,IB_general_4,IB_general_5,IB_general_6,IB_general_7,IB_general_8,IB_general_9,IB_general_10,IB_general_11,IB_text3,IB_harvest_1,IB_harvest_2,IB_harvest_3,IB_harvest_4,IB_harvest_5,IB_harvest_6,IB_person_1,IB_person_2,IB_person_3,IB_person_4,IB_person_5,Comments,TimeTaken
R_1rOlek3aFpilYXX,1/22/15 9:51,1/22/15 9:58,1,1,1,,3,NA,4,2,NA,1,,2,2,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,3,NA,NA,3,NA,1,2,NA,2,NA,NA,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,2.452,NA,1,NA,NA,NA,NA,NA,NA,3.263,NA,NA,NA,NA,1,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,1.882,,6.716666667
R_1dcoUjIfB4sifYI,1/22/15 9:58,1/22/15 10:02,1,1,2,,NA,3,NA,NA,NA,NA,,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,2,NA,1,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2.613,NA,NA,1,NA,NA,3.548,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.151,NA,NA,NA,NA,NA,NA,NA,3.097,,4.016666667
R_31NjCPC8rxZxdEb,1/22/15 10:02,1/22/15 10:06,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,1,1,1,NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,2.43,NA,NA,NA,NA,3.446,1,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.425,NA,NA,NA,NA,NA,3.29,,4.083333333
R_ZdUEOggGP6v74D7,1/22/15 10:07,1/22/15 10:08,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3.194,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1.468,NA,NA,NA,1,NA,NA,NA,NA,NA,3.785,2.93,NA,NA,NA,NA,,1.033333333
R_3imMtMWC7dbez8o,1/22/15 10:20,1/22/15 10:21,1,1,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,2.894,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.868,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.707,NA,NA,NA,NA,NA,2.835,,1.166666667
R_1ibz0OpnL482PID,1/22/15 10:22,1/22/15 10:23,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,2,1,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,1,3.608,NA,NA,NA,NA,3.581,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.104,1,NA,NA,NA,3.361,NA,NA,NA,3.361,NA,NA,NA,,0.966666667
R_30pcqlHnicq4b7T,1/22/15 10:26,1/22/15 10:30,1,1,1,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,3,3,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,2.503,NA,NA,NA,NA,NA,1,1.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.707,NA,NA,NA,NA,2.444,NA,NA,NA,NA,,3.433333333
R_XLlP5GfPHEJc2LD,1/22/15 10:30,1/22/15 10:31,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,1,1,2.691,NA,NA,NA,NA,NA,2.943,NA,1,NA,2.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.886,NA,NA,NA,NA,2.352,NA,NA,NA,NA,,1.25
R_2vii1BcTy8kdgsk,1/22/15 10:50,1/22/15 10:55,1,1,1,,6,NA,4,2,NA,2,,3,2,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,NA,NA,3,1,2,NA,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3.011,1,NA,NA,NA,NA,NA,NA,NA,2.306,NA,NA,NA,1,NA,NA,NA,2.28,NA,NA,2.376,3.285,NA,NA,NA,,5.65
R_20Vw97tWh5mW7Uw,1/22/15 10:58,1/22/15 10:59,1,1,2,,NA,2,NA,NA,NA,NA,,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3.548,1,NA,NA,NA,NA,NA,NA,NA,2.484,NA,NA,NA,1,NA,NA,NA,NA,NA,3.043,NA,3.306,NA,NA,NA,,1.483333333
R_z6bCLyLmNxXYZ5D,1/22/15 11:01,1/22/15 11:25,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1.876,1,NA,NA,NA,NA,NA,NA,NA,2.812,NA,NA,NA,1,NA,NA,NA,NA,NA,2.656,NA,3.505,NA,NA,NA,,23.81666667
R_xzvOv6xRn0MzBzb,1/22/15 11:25,1/22/15 11:26,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3.731,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.344,NA,NA,1,NA,NA,NA,NA,2.511,NA,NA,3.048,NA,NA,NA,,1.15
R_TcItthbGdEgTwxX,1/22/15 12:58,1/22/15 13:04,1,1,1,,1,NA,3,2,NA,5,,3,2,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,3,2,3,2,2,3,2,1,2,3,3,3,2,2,2,2,3,2,2,1,2,2,3,3,2,3,2,2,3,3,3,1,1,1.763,1.839,1.995,2.065,2.091,2.048,1.925,2.177,1,2.091,1.925,2.29,2.005,2.161,1.806,2.134,1.866,2.14,1.882,2.054,1,2.081,1.909,2.048,1.919,2.28,1.978,2.065,1.796,2.253,2.048,1.849,,6.166666667
R_a2AFfmtJQu3wBA5,1/22/15 13:54,1/22/15 15:25,1,1,2,,NA,4,NA,NA,NA,NA,,NA,1,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,3,2,3,2,2,1,2,2,3,2,3,2,2,2,2,3,3,1,2,2,3,3,2,3,2,2,3,2,3,1,1,2.333,1.409,1.774,1.462,1.968,1.226,1.962,2.339,1,1.435,2.022,2.382,2.151,1.194,1.167,2.237,1.677,1.677,1.849,1.124,1,1.263,1.505,1.247,2.048,1.581,1.274,1.237,1.634,1.882,1.339,1.677,,91.31666667
R_1i3DpzSIvsnd7SS,1/15/15 15:50,1/15/15 15:50,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.066666667
R_erpi6Fve6IJZv3D,1/26/15 10:27,1/26/15 10:30,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,3,1,1,2,2,3,2,3,2,3,2,1,2,1,3,2,1,2,2,1,2,2,2,1,2,3,2,3,2,3,4,3,3,4,4,1,1,1.905,1.835,1.302,2.32,1.846,1.808,1.824,2.072,1,1.619,2.207,2.142,1.964,1.953,1.975,2.023,1.549,2.47,1.738,1.727,1,1.835,2.136,1.749,2.029,1.943,1.948,1.894,2.233,1.496,1.253,1.905,,3
R_DOBGWWFaiyWiCul,1/26/15 10:31,1/26/15 10:40,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,1,1,2,3,1,1,2,3,1,2,1,3,2,1,2,2,2,1,3,2,1,2,3,2,1,2,1,1,3,1,1,1.505,2.091,2.753,1.532,1.425,1.495,2.478,1.962,1,1.565,2.505,2.371,1.177,2.075,2.978,2.124,2.763,1.581,1.516,1.806,1,2.731,1.392,2.177,1.505,1.247,1.887,1.72,1.22,1.839,2.392,1.263,,9.25
R_3MLHP6z4JIDkWPq,1/20/15 13:48,1/20/15 13:50,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.15
R_1NyaKdEvNhkWtOq,1/20/15 15:20,1/20/15 15:22,0,1,3,,NA,NA,NA,NA,NA,NA,,2,2,NA,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.883333333
R_1mxclBD2D5FtbBz,1/20/15 15:47,1/20/15 15:48,0,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.283333333
R_21gJJMdM3q0sDQo,1/28/15 15:11,1/28/15 15:17,1,1,1,,2,NA,2,2,NA,2,,1,2,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.311,1.982,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5.9
R_2qsEC16pTGxtw9L,1/22/15 10:53,1/22/15 10:53,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.116666667
R_2VCOQ9FKX5rR18y,1/22/15 10:59,1/22/15 10:59,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.1
R_x580p8nZg3zz7gd,2/10/15 11:53,2/10/15 12:04,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,3,1,1,4,3,3,4,3,2,2,2,1,3,3,3,4,4,4,4,4,3,3,4,1,2,2,2,1,1,1,3,3,3,3,3,1,1,1,1.993,3.007,1,1,NA,NA,1,1,1,1,1.993,2.492,1.993,1.993,4,2.476,NA,1.987,NA,1,NA,NA,NA,NA,NA,NA,1,1.977,1.982,4,1.483,,10.76666667
R_24OEl4W18ZYXvIp,2/10/15 15:37,2/10/15 15:41,1,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,2,3,4,3,2,2,2,1,2,3,3,2,4,4,4,4,2,4,2,1,2,3,3,3,3,2,3,3,3,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4.616666667
R_2SBmMSssM1BthOP,2/11/15 15:04,2/11/15 15:06,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.316666667
R_2WScxD4VJCtWHTn,2/28/15 10:33,2/28/15 10:34,0,1,1,,2,NA,1,2,NA,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.083333333
R_1hzD5N4zKX2SC4m,3/31/15 9:01,3/31/15 9:13,1,1,3,Animal Health Company,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,NA,1,1,1,3,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,1,2,4,3,2,2,1,3,4,3,3,4,1,1,1.059,2.022,2.618,2.011,2,3.774,4,2.011,1,2.215,2.204,1.978,3.543,NA,NA,4,NA,NA,2.995,3.57,1,1,1.468,1.478,1,1,1.968,1.403,3.054,NA,3.887,1.651,,12.16666667
R_cGWndAdSZyybAg9,3/31/15 12:48,3/31/15 13:04,1,1,3,government,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,2,1,1,2,2,3,4,3,4,4,2,1,4,4,3,3,4,4,4,2,1,4,3,1,3,3,2,2,2,1,4,3,2,3,3,1,1,1.242,1.462,2.996,1.993,1.977,NA,NA,1.343,1,1.907,1.928,2.996,NA,3.018,1.998,NA,1.494,3.013,3.018,NA,1,1.708,1.714,1.687,1.708,1.719,2.138,1,1.821,2.02,3.007,1.832,"Many questiosn are age-stage dependent at individual sites.  Also depend upon response priorities. e.g. if vaccinaton is a strategy, vaccinaton crews must move between sites.  I assume that sow herds could be ""shut down"" to movng culls and replacements in the short-term, similar to a PRS eliminaton protocol.. ",15.88333333
R_27PuexTPvEuAEhS,5/26/15 13:57,5/26/15 14:14,1,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,3,4,4,3,3,4,3,1,2,3,3,3,4,4,4,4,2,3,3,1,2,2,1,1,1,1,1,2,1,2,3,1,1,1.156,2.004,2.476,1,1,1.209,1.998,1,1,1,1,1,1.977,1.445,1,1,1,2.009,1,1.553,1,1.279,1.311,1.349,1.542,1.531,1.714,1.526,1.499,1,1.258,1.016,,17.18333333
R_1QzMOTqRhMqr3Pv,6/15/15 11:53,6/15/15 12:00,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,2,4,4,2,3,2,1,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3.016,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6.5
R_1kUh4h3m6aZrGr6,6/16/15 16:14,6/16/15 16:20,1,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6.3
R_1C9F7YLDUdcr43g,6/16/15 16:22,6/16/15 16:34,1,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,12.01666667
R_1OOyft85B96O44G,6/16/15 16:35,6/16/15 18:02,0,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,2,4,4,4,4,4,1,1,1.538,1.995,1.973,1.962,1.968,4,3.027,NA,1,1.989,2.022,2.952,2.984,3.027,3.043,3.038,NA,NA,1.984,3.022,1,NA,NA,NA,NA,NA,NA,1,NA,3,1.952,1.978,,87.01666667
R_D8GQNtQv12uufLP,6/30/15 11:26,6/30/15 11:26,0,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.6
R_1rJ0WaEr3CaoWZI,7/14/15 9:21,7/14/15 9:43,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,1,1,3,4,2,2,3,1,1,2,3,3,1,4,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,3,1,1,1.215,2.468,2.441,1.978,2.333,4,4,1,1,1.78,1.753,2.414,2.468,2.505,2.511,3,3.543,2.995,2.172,NA,1,1,1,1,1.253,1,1,1,2.005,1.57,2.995,2.86,"A lot of instances where it depends on what needs to be done, based on animal health or facility maintenance ",22.33333333
R_1mJkXht3EewAKzm,7/16/15 8:04,7/16/15 8:32,1,1,3,Veterinarian for biologic company,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,4,1,1,4,3,3,4,3,1,3,3,3,4,4,4,4,4,3,3,4,1,2,2,2,1,1,1,4,4,2,4,4,1,1,1.989,3.005,NA,2.478,1.989,3.005,3.016,1.866,1,1.989,1.978,2.511,NA,NA,2.543,NA,NA,NA,2.5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.489,,28.23333333
